bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,used_nvram_env,checksec,hash_value,bdg
busybox,MIPS,0,1,['libc.so.0'],Not parsed,Not parsed,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",76ef3c811909eb298ce36d3cea87af5b7771b068efaf823b29413b52d6623053,[]
ISS.exe,MIPS,0,1,"['libnsl.so.0', 'libpthread.so.0', 'libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",Not parsed,Not parsed,"{'RELRO': 0, 'Canary': 0, 'NX': 1, 'PIE': 0, 'rpath': 0, 'runpath': 0}",61fdc3c1b2a0f458de546bdc25e0bdff9bf35f6343000ce9b8779d7455073936,[]
