Vendor,Model,Version,Date,Checksum,Description,Download
xerox,VersaLink B7125/B7130/B7135 Multifunction Printer,59.21.21,12/08/2022,,,https://download.support.xerox.com/pub/drivers/VLB71XX/firmware/win10/ar/592121_VL_B7125_E.zip
xerox,VersaLink C7020/C7025/C7030 Multifunction Printer,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,PrimeLink C9065/C9070 Printer,85.31.31,03/15/2023,,,https://download.support.xerox.com/pub/drivers/PLC9065_PLC9070/SPs/win10/ar/853131_PL_C9065_C9070.zip
xerox,PrimeLink C9065/C9070 Printer,V12,02/04/2022,,,https://download.support.xerox.com/pub/drivers/XRIP_PLC9065_PLC9070_Base/firmware/win10/en_GB/CardReaderPlug-ins_v12.zip
xerox,VersaLink B400 Printer,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,Xerox C315 Color Multifunction Printer,CXTZJ.081.215,10/10/2022,,,https://download.support.xerox.com/pub/drivers/C315/firmware/win10/ar/C315_CXTZJ.081.215.zip
xerox,VersaLink C8000W Color Printer,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,VersaLink C620 Printer,120.026.003.20002,04/18/2024,,,https://download.support.xerox.com/pub/drivers/VLC620/firmware/win10/ar/XeroxVersaLink_C620_ALTBOOT_system-sw_12002600320002_.zip
xerox,VersaLink C620 Printer,120.026.003.20000,01/17/2024,,,https://download.support.xerox.com/pub/drivers/VLC620/firmware/win10/ar/XeroxVersaLink_C620_system-sw12002600320000.zip
xerox,Xerox C310 Color Printer,CSNZJ.081.215,10/10/2022,,,https://download.support.xerox.com/pub/drivers/C310/firmware/win10/ar/C310_CSNZJ.081.215.zip
xerox,AltaLink B8145 / B8155 / B8170 Multifunction Printer,120.013.003.20000,09/13/2023,,,https://download.support.xerox.com/pub/drivers/ALB81XX/firmware/win10/ar/Xerox_Altalink_B8145_B8155_Software_Upgrade_12001300320000.zip
xerox,AltaLink B8145 / B8155 / B8170 Multifunction Printer,120.014.003.20000,09/13/2023,,,https://download.support.xerox.com/pub/drivers/ALB81XX/firmware/win10/ar/Xerox_Altalink_B8170_Software_Upgrade_12001400320000.zip
xerox,AltaLink C8130 / C8135 / C8145 / C8155 / C8170 Color Multifunction Printer,120.011.003.20000,09/13/2023,,,https://download.support.xerox.com/pub/drivers/ALC81XX/firmware/win10/ar/Xerox_Altalink_C8170_Software_Upgrade_12001100320000.zip
xerox,AltaLink C8130 / C8135 / C8145 / C8155 / C8170 Color Multifunction Printer,120.010.003.20000,09/13/2023,,,https://download.support.xerox.com/pub/drivers/ALC81XX/firmware/win10/ar/Xerox_Altalink_C8145_C8155_Software_Upgrade_12001000320000.zip
xerox,AltaLink C8130 / C8135 / C8145 / C8155 / C8170 Color Multifunction Printer,120.009.003.20000,09/13/2023,,,https://download.support.xerox.com/pub/drivers/ALC81XX/firmware/win10/ar/Xerox_Altalink_C8130_C8135_Software_Upgrade_12000900320000.zip
xerox,Xerox Color 550/560/570 Printer,V12,02/04/2022,,,https://download.support.xerox.com/pub/drivers/XRIP_PLC9065_PLC9070_Base/firmware/win10/en_GB/CardReaderPlug-ins_v12.zip
xerox,Phaser 3052,3.50.02.05,09/20/2021,,,https://download.support.xerox.com/pub/drivers/3052/SPs/win10/ar/PH3052_3260_V3.50.02.05.zip
xerox,Xerox C235 Color Multifunction Printer,CXLBL.081.215,10/10/2022,,,https://download.support.xerox.com/pub/drivers/C235/firmware/win10/ar/C235_CXLBL.081.215.zip
xerox,VersaLink B415 Multifunction Printer,120.029.003.20002,04/18/2024,,,https://download.support.xerox.com/pub/drivers/VLB415/firmware/win10/ar/XeroxVersaLink_B415_ALTBOOT_system-sw12002900320002.zip
xerox,VersaLink C7120/C7125/C7130 Color Multifunction Printer,V14,09/26/2023,,,https://download.support.xerox.com/pub/drivers/VLB400/firmware/win10/ar/CardReaderPlug-ins_v14.zip
xerox,VersaLink C7120/C7125/C7130 Color Multifunction Printer,69.21.21,12/08/2022,,,https://download.support.xerox.com/pub/drivers/VLB71XX/firmware/win10/ar/692121_VL_C7120_E.zip
