bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,checksec,used_nvram_env,full_path,bdg
athstatsclr,MIPS,1,0,[],[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/athstatsclr,[]
httpd,MIPS,0,1,"['libcrypt.so.0', 'libgcc_s.so.1', 'libc.so.0']","['TOP', 'PATH']","{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/httpd,"['wpa_supplicant', 'eapolclient', 'busybox', 'hostapd']"
syslogd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/sbin/syslogd,[]
neapclient,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/neapclient,[]
fresetd,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/fresetd,[]
wpa_supplicant,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",['TOP'],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/wpa_supplicant,"['httpd', 'eapolclient', 'hostapd']"
tc_monitor,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/tc_monitor,[]
cli,MIPS,1,1,[],[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/cli,[]
ldapsearch,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']","['TMPDIR', 'TEMP', 'TMP', 'HOME', 'LDAPCONF', 'LDAPRC', 'LDAPNOINIT']","{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/ldapsearch,"['snmptrap', 'snmpd', 'ldapwhoami']"
aparraymsg,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/aparraymsg,[]
hostapd,MIPS,0,0,"['libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']",['TOP'],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/hostapd,"['wpa_supplicant', 'httpd', 'eapolclient']"
autorekey,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/autorekey,[]
wlxmlpatch,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/wlxmlpatch,[]
rgbin,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",['SMTPSERVER'],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/rgbin,[]
snmptrap,MIPS,0,0,"['libpthread.so.0', 'libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']","['SNMP_PERSISTENT_DIR', 'SNMP_PERSISTENT_FILE', 'SNMPCONFPATH', 'HOME', 'PREFIX', 'MIBFILES', 'MIBS', 'MIBDIRS']","{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/snmptrap,"['ldapsearch', 'snmpd', 'ldapwhoami']"
gpioc,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/gpioc,[]
pop3client_ssl,MIPS,1,0,[],[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/pop3client_ssl,[]
xmldb,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/xmldb,[]
autorekeymatchtime,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/autorekeymatchtime,[]
flashtest,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/flashtest,[]
