Vendor,Model,Version,Date,Checksum,Description,Download
D-Link(KR),DIR-885L,v1.24KR ,2020-08-27,,--업데이트 내용--* 무선 보안모드 암호화 방식 선택 메뉴 추가,https://mydlink.co.kr/2008/data/DIR885LA1_FW124KR.bin
D-Link(KR),DIR-885L,v1.23KR ,2020-08-13,,--업데이트 내용--* DDNS 서비스 타입 2종 추가- NO-IP DNS- DuckDNS,https://mydlink.co.kr/2008/data/DIR885LA1_FW123KR.bin
D-Link(KR),DIR-885L,v1.22KR ,2020-07-21,,"--업데이트 내용--* v1.14 이하 펌웨어 사용자는 해당 펌웨어를 적용하기 전에 v1.15 펌웨어를 먼저 업그레이드 바랍니다.* WEB WoL 기능 추가(업그레이드 후 WEB GUI에서 WoL 메뉴가 보이지 않는 경우, 인터넷 브라우저의 검색기록 또는 방문기록을 삭제 바랍니다.)",https://mydlink.co.kr/2008/data/DIR885LA1_FW122KR.bin
D-Link(KR),DIR-885L,v1.21b03 ,2019-11-11,,--업데이트 내용--* 해당 펌웨어를 적용하기 전에 v1.15 펌웨어를 먼저 업그레이드 바랍니다.* 게스트존 Wi-Fi 비활성화에도 SSID가 검색되던 버그 수정* WPA2 KRACK 패치 드라이버 적용,https://mydlink.co.kr/2008/data/DIR885LA1_FW121b03.bin
D-Link(KR),DIR-885L,v1.15b02 ,2019-11-09,,--업데이트 내용--* v1.20 이상 업그레이드를 위한 중간 펌웨어입니다.* 상위 버전 펌웨어를 업그레이드 전 반드시 이 펌웨어를 적용 바랍니다.,https://mydlink.co.kr/2008/data/DIR885LA1_FW115b02.bin
D-Link(KR),DIR-885L,v1.14KRb07 ,2017-08-30,,--업데이트 내용--* 무선 성능 개선* 실시간 IPTV 관련 성능 개선* DHCP 예약할당 리스트 삭제 불가 버그수정* 오픈VPN 기능 추가로 유해 사이트 접속 차단* Kwilt Streamer 기능 추가 - 사진 공유 기능 (안드로이드 & iOS 앱 지원),https://mydlink.co.kr/2008/data/DIR885LA1_FW114b07.bin
D-Link(KR),DIR-885L,v1.13KRb03 ,2017-06-22,,--업데이트 내용--* IPTV 전용포트 추가 (4번포트 고정)* iQoS 기능 추가* 무선 성능 안정화,https://mydlink.co.kr/2008/data/DIR885LA1_FW113b03.bin
D-Link(KR),DIR-885L,v1.11KRb07 ,2016-05-30,,--업데이트 내용--* MU-MIMO 성능 개선* UPnP IGD 지원* 기타 마이너 버그 수정,https://mydlink.co.kr/2008/data/DIR885LA1_FW111KRb07.bin
D-Link(KR),R15,1.08.B05 ,2023-08-29,,--업데이트 내용--* IPv6 보안 강화,https://mydlink.co.kr/2008/data/R15A1_FW108B05.bin
D-Link(KR),R15,1.08.B03 ,2023-07-27,,"--업데이트 내용--* 보안 취약점 개선* 무선 자동 채널 설정 시, 그룹키 갱신 문제로 재연결이 안되는 문제 해결",https://mydlink.co.kr/2008/data/R15A1_FW108B03_beta01.bin
D-Link(KR),R15,1.07.B01 ,2023-03-03,,--업데이트 내용--* 보안 취약점 개선* 안드로이드 클라이언트 호환성 개선* 자동 채널 선택 동작 개선* 메쉬 로밍 동작 개선* 클라이언트 목록 관련 버그 수정,https://mydlink.co.kr/2008/data/R15A1_FW107B01_20230104_beta01%280104150649%29.bin
D-Link(KR),R15,1.06.10 ,2022-09-05,,--업데이트 내용--* 웹 접속 차단 이슈 해결* 재부팅 버그 수정* 무선 속도 저하 개선* WoL 동작 버그 수정,https://mydlink.co.kr/2008/data/R15A1_FW106B10.bin
D-Link(KR),R15,1.06.04 ,2022-07-07,,--업데이트 내용--* 밴드 스티어링 동작 개선,https://mydlink.co.kr/2008/data/R15A1_FW106B04.bin
D-Link(KR),R15,1.05.05 ,2022-05-25,,--업데이트 내용--* 멀티캐스트 스트리밍 버그 수정* 재부팅 버그 수정* DHCP 서버 관련 버그 수정,https://mydlink.co.kr/2008/data/R15A1_FW105B05.bin
D-Link(KR),R15,1.05.01 ,2022-04-25,,--업데이트 내용--* 5GHz 대역 메쉬 동기화 버그 수정* 번역 오류 수정* VPN 연결 버그 수정* 메쉬 연결 안정성 향상,https://mydlink.co.kr/2008/data/R15A1_FW105B01.bin
D-Link(KR),R15,1.01.08 ,2022-04-25,,--업데이트 내용--* Wi-Fi 연결 안정성 향상* Wi-Fi 채널 수동 설정 버그 수정* 트래픽 최적화 기능 향상,https://mydlink.co.kr/2008/data/R15A1_FW101B08.bin
D-Link(KR),DIR-882,v1.06 ,2020-12-24,,--업데이트 내용--* 보안 취약점 개선* USB 포트 FTP 서버 사용 시 외부 접속불가 증상 수정* DDNS 서비스 타입 추가,https://mydlink.co.kr/2008/data/2020.12.23-10.45_DIR_882_MT7621AT_KOREA_1.0.6_release.bin
D-Link(KR),DIR-882,v1.05 ,2020-05-14,,--업데이트 내용--* Multicast Stream 수신 시 WAN 끊김 현상 수정* 5Ghz Wi-Fi 클라이언트 리스트 표시 안되는 버그 수정* UDPXY WAN to WAN 기능 미동작 버그 수정* 사용자 비밀번호 특수문자 사용 시 로그인 불가 버그 수정,https://mydlink.co.kr/2008/data/2020.05.13-13.42_DIR_882_MT7621AT_KOREA_1.0.5_release.bin
D-Link(KR),DIR-882,v1.04 ,2019-10-29,,--업데이트 내용--* USB 프린터서버 기능 오류 수정* IPTV 포트에 장치 연결 시 인터넷 끊김 버그 수정* DHCP 릴레이 기능 사용 시 외부 서버 IP주소 입력 불가 버그 수정* 웹UI 로그아웃 후 새로고침 시 영문출력 버그 수정* L2TP over IPSec VPN 클라이언트 모드 시 PSK 필드 추가,https://mydlink.co.kr/2008/data/2019.10.24-15.26_DIR_882_MT7621AT_KOREA_1.0.4_internal.bin
D-Link(KR),DIR-882,v1.03 ,2019-05-18,,--업데이트 내용--* DIR-882 초기 탑재 펌웨어,https://mydlink.co.kr/2008/data/2018.09.18-16.55_DIR_882_MT7621AT_KOREA_1.0.3_release.bin
D-Link(KR),DAP-2660,v2.00_r146 ,2022-05-03,,--업데이트 내용--* 보안 취약점 강화,https://mydlink.co.kr/2008/data/DAP-2660_firmware_v2.00B03r146%281210152627%29%281222113521%29.bin
D-Link(KR),DAP-2660,v2.00_r140 ,2021-04-06,,"--업데이트 내용--* Nuclias Connect 지원 (CWM, AP Array 기능 제거됨)* 보안을 위한 기본 패스워드 필수 설정하도록 변경(기본값 admin/admin)* MDNS 지원* WDS 모드 설정을 QCA 형식으로 변경* 기본 IP 주소가 DHCP로 동작(DHCP 서버가 없을 경우 192.168.0.50)",https://mydlink.co.kr/2008/data/DAP-2660_firmware_v2.00r140.bin
D-Link(KR),DAP-2660,v1.15_rc121 ,2018-03-20,,--업데이트 내용--* 5GHz 11AC 모드에서 채널간격 80MHz으로 동작하지 않는 버그 수정,https://mydlink.co.kr/2008/data/dap2660-firmware-v115-beta28-rc121%280226110743%29.bin
D-Link(KR),DAP-2660,v1.15_rc118 ,2018-01-29,,--업데이트 내용--* WPA2 보안 패치,https://mydlink.co.kr/2008/data/dap2660_firmware-v115-patch-rc118.bin
D-Link(KR),DAP-2660,v1.15_rc093 ,2016-12-06,,--업데이트 내용--* 메모리 누수 버그 수정* CSRF 공격에 대한 보안 개선* WLAN Partition 기능 사용 시 네트워크 접속 불가 버그 수정,https://mydlink.co.kr/2008/data/DAP2660-firmware-v115-rc093.bin
D-Link(KR),DIR-868LW,DIR868LWA1_FW108middle ,2023-07-24,,2.00 버전 펌웨어를 업데이트하기 위한 중간 펌웨어입니다.2.00KR 매뉴얼을 통한 업데이트 시 해당 펌웨어를 반드시 사용하시길 바랍니다.,https://mydlink.co.kr/2008/data/DIR868LWA1_FW108middle.bin
D-Link(KR),DIR-868LW,v2.00KR-K13 ,2020-08-27,,--업데이트 내용--* 자동 재부팅 기능 추가* 무선 보안모드 암호화 방식 선택 메뉴 추가,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K13.bin
D-Link(KR),DIR-868LW,v2.00KR-K12 ,2020-08-12,,--업데이트 내용--* DDNS 서비스 타입 2종 추가- NO-IP DNS- DuckDNS,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K12.bin
D-Link(KR),DIR-868LW,v2.00KR-K11 ,2020-06-08,,--업데이트 내용--* Mydlink Agent 업그레이드* VPN(PPTP) 서버 설정 시 2개 이상의 클라이언트가 동시 접속이 안되었던 부분 수정* 한글 번역 오류 수정,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K11.bin
